Url,Name,Address,Phone,Latitude,Longitude,Category,Price,RatingAverage,TotalReviews
https://www.yelp.it/biz/museo-nazionale-del-cinema-torino,'Museo Nazionale del Cinema','Via Montebello 20 10124 Torino','011 8123565',?,?,Musei,null,4.5,52
https://www.yelp.it/biz/museo-egizio-torino,'Museo Egizio','Via Accademia delle Scienze 6 10123 Torino','011 5617776',?,?,Musei,null,4.5,63
https://www.yelp.it/biz/eataly-torino-torino,'Eataly Torino','Via Nizza 230 10126 Torino','011 19506801',?,?,'Cucina italiana; Negozi alimentari specializzati; Supermarket',2,4.0,80
https://www.yelp.it/biz/mole-antonelliana-torino,'Mole Antonelliana','Via Montebello 20 10124 Torino','081 25658',?,?,'Monumenti/Luoghi storici e d interesse',null,4.5,36
https://www.yelp.it/biz/amici-miei-torino,'Amici Miei','Corso Vittorio Emanuele II 94 10121 Torino','011 5069961',?,?,'Cucina italiana; Pizzerie',2,4.5,33
https://www.yelp.it/biz/locanda-da-betty-torino,'Locanda da Betty','Via Bogino 17 10123 Torino','011 19694510',?,?,'Cucina italiana',2,5.0,16
https://www.yelp.it/biz/baratti-e-milano-torino-2,'Baratti & Milano','Piazza Castello 27 10123 Torino','011 4407138',?,?,'Cucina italiana; Caffè',3,4.5,20
https://www.yelp.it/biz/al-bicerin-torino,'Al Bicerin','Piazza della Consolata 5 10122 Torino','011 4369325',?,?,Caffè,2,4.0,29
https://www.yelp.it/biz/signorvino-torino,Signorvino,'Via Giuseppe Luigi Lagrange 13 10123 Torino','011 4407490',?,?,'Cucina italiana; Wine bar; Cantine/Enoteche',3,5.0,11
https://www.yelp.it/biz/gennaro-esposito-torino,'Gennaro Esposito','Via Passalacqua 1G 10122 Torino','011 535905',?,?,'Cucina italiana; Pizzerie',2,4.5,16
'https://www.yelp.it/biz/fiorio-caff\%C3\%A8-torino','Fiorio Caffè','Via Po 8 10123 Torino','011 8173225',?,?,'Cucina italiana; Caffè; Caffè/Tè',2,4.0,34
https://www.yelp.it/biz/parco-del-valentino-torino,'Parco del Valentino','Corso Massimo D Azeglio 10124 Torino',null,?,?,Parchi,null,4.5,15
https://www.yelp.it/biz/grom-torino-2,Grom,'Via Accademia Delle Scienze 4 10123 Torino','011 5579095',?,?,'Gelaterie; Caffè/Tè',2,4.0,34
https://www.yelp.it/biz/del-cambio-torino,'Del Cambio','Piazza Carignano 2 10123 Torino','011 546690',?,?,'Cucina italiana; Sale/Spazi per eventi',4,4.5,19
https://www.yelp.it/biz/la-capannina-torino-2,'La Capannina','Via Donati 1 10121 Torino','011 545405',?,?,'Cucina italiana; Pizzerie; Cucina vegana',3,4.5,10
https://www.yelp.it/biz/poormanger-torino,Poormanger,'Via Maria Vittoria 36B 10123 Torino','388 9426771',?,?,'Cucina italiana; Bistrot; Cucina mediterranea; ',2,4.5,11
https://www.yelp.it/biz/palazzo-reale-di-torino-torino,'Palazzo Reale di Torino','Piazza Reale 1 10122 Torino','011 4361455',?,?,'Musei; Monumenti/Luoghi storici e d interesse',null,4.0,23
https://www.yelp.it/biz/piola-cianci-torino,'Piola Cianci','Via Quattro Marzo 9B 10122 Torino','011 19879451',?,?,'Cucina piemontese; Trattorie; Bistrot',3,4.5,9
'https://www.yelp.it/biz/caff\%C3\%A8-mulassano-torino-3','Caffè Mulassano','Piazza Castello 15 10124 Torino','011 547990',?,?,'Caffè; Caffè/Tè; Panini/Sandwich',2,4.0,15
'https://www.yelp.it/biz/caff\%C3\%A8-torino-torino-2','Caffè Torino','Piazza San Carlo 204 10121 Torino','011 545118',?,?,'Caffè; Caffè/Tè',3,4.0,14
https://www.yelp.it/biz/prima-e-poi-torino,'Prima e Poi','Via Lagrange 43 10123 Torino','011 5178698',?,?,'Cucina italiana',2,4.5,12
'https://www.yelp.it/biz/\%C3\%A8-cucina-cesare-marretti-torino','È Cucina Cesare Marretti','Via Bertola 27A 10122 Torino','011 5629038',?,?,'Cucina italiana; Cucina vegetariana',2,4.5,9
https://www.yelp.it/biz/museo-pietro-micca-torino,'Museo Pietro Micca','Via Guicciardini 7A 10121 Torino','011 546317',?,?,Musei,null,4.5,10
https://www.yelp.it/biz/piazza-vittorio-veneto-torino,'Piazza Vittorio Veneto','Piazza Vittorio Veneto 10124 Torino',null,?,?,'Monumenti/Luoghi storici e d interesse; Piazze pubbliche',null,4.5,7
https://www.yelp.it/biz/mercato-di-porta-palazzo-torino,'Mercato di Porta Palazzo','Piazza della Republica 10152 Torino',null,?,?,'Venditori ambulanti; Mercati ortofrutticoli',1,4.0,16
https://www.yelp.it/biz/teapot-torino,Teapot,'Via Silvio Pellico 18 10125 Torino','011 19781481',?,?,'Colazioni/Brunch; Sale da tè',3,5.0,6
https://www.yelp.it/biz/ristoranti-alba-torino,Ristoranti-Alba,'Via San Pio V 8 10100 Torino','011 6692054',?,?,'Cucina italiana',3,4.5,10
https://www.yelp.it/biz/sicomoro-torino,Sicomoro,'Via Stampatori 6 10122 Torino','011 4407246',?,?,'Cucina italiana; Pizzerie',2,4.0,15
https://www.yelp.it/biz/quattro-soldi-torino,'Quattro Soldi','Corso Castelfidardo 7 10128 Torino','011 5621290',?,?,'Cucina italiana',2,4.5,8
'https://www.yelp.it/biz/cammaf\%C3\%A0-torino-4',Cammafà,'Piazza Galimberti 23B 10134 Torino','011 3017328',?,?,Pizzerie,2,4.0,17
https://www.yelp.it/biz/ristoranti-taverna-delle-rose-torino-2,'Ristoranti: Taverna Delle Rose','Via Andrea Massena 24 10128 Torino','011 538345',?,?,'Cucina italiana',3,4.5,6
https://www.yelp.it/biz/master-sandwich-torino,'Master Sandwich','Via Palazzo di Citta 6 10122 Torino','347 8498137',?,?,'Panini/Sandwich; Insalate',1,5.0,6
https://www.yelp.it/biz/alberto-marchetti-torino,'Alberto Marchetti','Corso Vittorio Emanuele II 24bis 10123 Torino','011 8390879',?,?,Gelaterie,1,4.0,9
https://www.yelp.it/biz/scannabue-torino,Scannabue,'Largo Saluzzo 25H 10125 Torino','011 6696693',?,?,'Cucina italiana; Caffè',3,4.0,9
https://www.yelp.it/biz/m-bun-torino,M**Bun,'Corso Siccardi 8A 10122 Torino','011 5617097',?,?,'Cucina italiana; Hamburger; Fast food',2,4.0,12
https://www.yelp.it/biz/mao-museo-d-arte-orientale-torino,'MAO - Museo d’Arte Orientale','via San Domenico 9-11 10122 Torino','011 4436927',?,?,Musei,null,4.0,12
https://www.yelp.it/biz/fuzion-torino,Fuzion,'Via Alessandro Volta 4B 10123 Torino','011 5795783',?,?,'Pizzerie; Sushi bar; Cucina fusion asiatica',2,5.0,5
https://www.yelp.it/biz/solferino-torino,Solferino,'Piazza Solferino 3 10121 Torino','011 535851',?,?,'Cucina italiana',3,4.0,11
https://www.yelp.it/biz/catullo-torino-2,Catullo,'Corso Moncalieri 176 10133 Torino','011 6618336',?,?,'Cucina italiana; Piatti a base di pesce; Steak house',3,4.5,8
https://www.yelp.it/biz/palazzo-madama-torino,'Palazzo Madama','Piazza Castello 10124 Torino','011 4433501',?,?,Musei,null,3.5,15
https://www.yelp.it/biz/lobelix-torino,Lobelix,'Piazza Savoia 4 10122 Torino','011 4367206',?,?,'Bar; Caffè',2,3.5,18
https://www.yelp.it/biz/busters-coffee-torino,'Busters Coffee','Via Cesare Battisti 7L 10123 Torino',null,?,?,'Caffè; Caffè/Tè',2,4.5,8
https://www.yelp.it/biz/borgo-medioevale-torino,'Borgo Medioevale','Viale Virgilio 107 10126 Torino','011 4431701',?,?,'Monumenti/Luoghi storici e d interesse; Castelli',3,4.0,12
https://www.yelp.it/biz/il-vicolo-torino,'Il Vicolo','Via Goia Melchiorre 3 10121 Torino','011 535233',?,?,'Cucina italiana',2,4.5,8
https://www.yelp.it/biz/magorabin-torino,Magorabin,'Corso san maurizio 61 10124 Torino','011 8126808',?,?,'Cucina italiana',4,4.5,6
